posición,altura (cm),peso (kg),IMC
C,192.87344262295082,305.1639344262295,82.09035866870443
CB,182.5708994708995,193.04761904761904,57.95582088471253
DB,190.5,214.0,58.96900682690254
DE,192.78793893129773,272.58015267175574,73.39554931697727
DT,191.21371900826446,306.1570247933884,83.8191251528522
FB,185.05714285714288,248.14285714285714,72.41546192294754
FS,183.2979746835443,202.873417721519,60.42396675246295
G,194.2743925233645,314.0747663551402,83.27932171970927
ILB,187.05870967741936,235.01075268817203,67.20897777896108
LB,195.58,253.0,66.14113413755584
MLB,187.32500000000002,233.875,66.70036709171866
NT,191.055625,322.875,88.54947395835414
OLB,190.97037037037038,248.42962962962963,68.09448274686191
QB,189.7216129032258,220.5,61.29034060608747
RB,180.29968253968255,214.32539682539684,65.93606291143313
SS,183.15353846153846,203.64615384615385,60.73205676940137
T,197.92461538461538,316.5726495726496,80.8352402697608
TE,194.65073170731708,248.9349593495935,65.73418647942445
WR,184.77366071428574,199.16071428571428,58.321797265827094
